Modèle,Précision,Rappel,F1-score,Exactitude,Temps de prédiction (ms)
K-Nearest Neighbors,0.9974254740497182,0.9974217794091942,0.9974224337108045,0.9974217794091942,1609.471082687378
Support Vector Machine,0.9830531897672312,0.9828264289459885,0.9828480072417689,0.9828264289459885,31079.655170440674
Decision Tree,0.508526894800943,0.631882538017829,0.5620138425437499,0.631882538017829,3.5233497619628906
Random Forest,0.9993884941995403,0.9993882188428597,0.9993881822296548,0.9993882188428597,245.2542781829834
